Index     V(ANODE)            I(V1)      
0        0.00000000e+00    0.00000000e+00
1        1.00000000e-02   -1.47201912e-14
2        2.00000000e-02   -3.16684030e-14
3        3.00000000e-02   -5.18963036e-14
4        4.00000000e-02   -7.69519688e-14
5        5.00000000e-02   -1.09114196e-13
6        6.00000000e-02   -1.51737418e-13
7        7.00000000e-02   -2.09759425e-13
8        8.00000000e-02   -2.90448738e-13
9        9.00000000e-02   -4.04504757e-13
10       1.00000000e-01   -5.67677208e-13
11       1.10000000e-01   -8.03149985e-13
12       1.20000000e-01   -1.14505022e-12
13       1.30000000e-01   -1.64361372e-12
14       1.40000000e-01   -2.37278854e-12
15       1.50000000e-01   -3.44142762e-12
16       1.60000000e-01   -5.00976459e-12
17       1.70000000e-01   -7.31366641e-12
18       1.80000000e-01   -1.07003338e-11
19       1.90000000e-01   -1.56808527e-11
20       2.00000000e-01   -2.30075515e-11
21       2.10000000e-01   -3.37878722e-11
22       2.20000000e-01   -4.96519902e-11
23       2.30000000e-01   -7.29995550e-11
24       2.40000000e-01   -1.07362897e-10
25       2.50000000e-01   -1.57941673e-10
26       2.60000000e-01   -2.32389878e-10
27       2.70000000e-01   -3.41974340e-10
28       2.80000000e-01   -5.03280043e-10
29       2.90000000e-01   -7.40720402e-10
30       3.00000000e-01   -1.09023243e-09
31       3.10000000e-01   -1.60471610e-09
32       3.20000000e-01   -2.36204118e-09
33       3.30000000e-01   -3.47683347e-09
34       3.40000000e-01   -5.11782431e-09
35       3.50000000e-01   -7.53338948e-09
36       3.60000000e-01   -1.10891429e-08
37       3.70000000e-01   -1.63232752e-08
38       3.80000000e-01   -2.40280133e-08
39       3.90000000e-01   -3.53695304e-08
40       4.00000000e-01   -5.20644558e-08
41       4.10000000e-01   -7.66397005e-08
42       4.20000000e-01   -1.12814926e-07
43       4.30000000e-01   -1.66065545e-07
44       4.40000000e-01   -2.44451469e-07
45       4.50000000e-01   -3.59837045e-07
46       4.60000000e-01   -5.29686813e-07
47       4.70000000e-01   -7.79708916e-07
48       4.80000000e-01   -1.14774623e-06
49       4.90000000e-01   -1.68950418e-06
50       5.00000000e-01   -2.48698225e-06
51       5.10000000e-01   -3.66088521e-06
52       5.20000000e-01   -5.38889281e-06
53       5.30000000e-01   -7.93255304e-06
54       5.40000000e-01   -1.16768695e-05
55       5.50000000e-01   -1.71885750e-05
56       5.60000000e-01   -2.53019109e-05
57       5.70000000e-01   -3.72448964e-05
58       5.80000000e-01   -5.48251995e-05
59       5.90000000e-01   -8.07037418e-05
60       6.00000000e-01   -1.18797451e-04
61       6.10000000e-01   -1.74872119e-04
62       6.20000000e-01   -2.57415104e-04
63       6.30000000e-01   -3.78919955e-04
64       6.40000000e-01   -5.57777419e-04
65       6.50000000e-01   -8.21059027e-04
66       6.60000000e-01   -1.20861459e-03
67       6.70000000e-01   -1.77910379e-03
68       6.80000000e-01   -2.61887480e-03
69       6.90000000e-01   -3.85503378e-03
70       7.00000000e-01   -5.67468345e-03
71       7.10000000e-01   -8.35324255e-03
72       7.20000000e-01   -1.22961328e-02
73       7.30000000e-01   -1.81001426e-02
74       7.40000000e-01   -2.66437560e-02
75       7.50000000e-01   -3.92201184e-02
76       7.60000000e-01   -5.77327643e-02
77       7.70000000e-01   -8.49837330e-02
78       7.80000000e-01   -1.25097680e-01
79       7.90000000e-01   -1.84146177e-01
80       8.00000000e-01   -2.71066695e-01
End of Xyce(TM) Simulation
