Index       TIME              V(IN)            V(OUT)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-12    5.00000000e-03    2.49998750e-08
2        1.50000000e-11    1.50000000e-02    1.74998125e-07
3        3.50000000e-11    3.50000000e-02    6.74989625e-07
4        7.50000000e-11    7.50000000e-02    2.87491863e-06
5        1.55000000e-10    1.55000000e-01    1.20743207e-05
6        3.15000000e-10    3.15000000e-01    4.96693812e-05
7        6.35000000e-10    6.35000000e-01    2.01629173e-04
8        1.00000000e-09    1.00000000e+00    4.99888646e-04
9        1.06400000e-09    1.00000000e+00    5.63852560e-04
10       1.19200000e-09    1.00000000e+00    6.91764014e-04
11       1.44800000e-09    1.00000000e+00    9.47554181e-04
12       1.96000000e-09    1.00000000e+00    1.45893812e-03
13       2.98400000e-09    1.00000000e+00    2.48092091e-03
14       5.03200000e-09    1.00000000e+00    4.52175018e-03
15       9.12800000e-09    1.00000000e+00    8.59089548e-03
16       1.73200000e-08    1.00000000e+00    1.66793884e-02
17       3.37040000e-08    1.00000000e+00    3.26592066e-02
18       6.64720000e-08    1.00000000e+00    6.38460643e-02
19       1.32008000e-07    1.00000000e+00    1.23251259e-01
20       1.97544000e-07    1.00000000e+00    1.78886799e-01
21       2.63080000e-07    1.00000000e+00    2.30991894e-01
22       3.28616000e-07    1.00000000e+00    2.79790574e-01
23       3.94152000e-07    1.00000000e+00    3.25492654e-01
24       4.59688000e-07    1.00000000e+00    3.68294632e-01
25       5.25224000e-07    1.00000000e+00    4.08380540e-01
26       5.90760000e-07    1.00000000e+00    4.45922730e-01
27       6.56296000e-07    1.00000000e+00    4.81082619e-01
28       7.21832000e-07    1.00000000e+00    5.14011379e-01
29       7.87368000e-07    1.00000000e+00    5.44850590e-01
30       8.52904000e-07    1.00000000e+00    5.73732848e-01
31       9.18440000e-07    1.00000000e+00    6.00782334e-01
32       9.83976000e-07    1.00000000e+00    6.26115351e-01
33       1.00100000e-06    1.00000000e+00    6.32426641e-01
34       1.00100625e-06    9.93750000e-01    6.32428900e-01
35       1.00101250e-06    9.87500000e-01    6.32431119e-01
36       1.00102500e-06    9.75000000e-01    6.32435479e-01
37       1.00105000e-06    9.50000000e-01    6.32443731e-01
38       1.00110000e-06    9.00000000e-01    6.32458358e-01
39       1.00120000e-06    8.00000000e-01    6.32480111e-01
40       1.00140000e-06    6.00000000e-01    6.32493614e-01
41       1.00180000e-06    2.00000000e-01    6.32400635e-01
42       1.00200000e-06   -7.50510765e-14    6.32294165e-01
43       1.00208000e-06    0.00000000e+00    6.32243586e-01
44       1.00224000e-06    0.00000000e+00    6.32142443e-01
45       1.00256000e-06    0.00000000e+00    6.31940190e-01
46       1.00320000e-06    0.00000000e+00    6.31535878e-01
47       1.00448000e-06    0.00000000e+00    6.30728029e-01
48       1.00704000e-06    0.00000000e+00    6.29115429e-01
49       1.01216000e-06    0.00000000e+00    6.25902583e-01
50       1.02240000e-06    0.00000000e+00    6.19525989e-01
51       1.04288000e-06    0.00000000e+00    6.06966703e-01
52       1.08384000e-06    0.00000000e+00    5.82604290e-01
53       1.12480000e-06    0.00000000e+00    5.59219734e-01
54       1.16576000e-06    0.00000000e+00    5.36773786e-01
55       1.20672000e-06    0.00000000e+00    5.15228774e-01
56       1.24768000e-06    0.00000000e+00    4.94548535e-01
57       1.28864000e-06    0.00000000e+00    4.74698358e-01
58       1.32960000e-06    0.00000000e+00    4.55644928e-01
59       1.37056000e-06    0.00000000e+00    4.37356263e-01
60       1.41152000e-06    0.00000000e+00    4.19801669e-01
61       1.45248000e-06    0.00000000e+00    4.02951680e-01
62       1.49344000e-06    0.00000000e+00    3.86778016e-01
63       1.53440000e-06    0.00000000e+00    3.71253530e-01
64       1.57536000e-06    0.00000000e+00    3.56352165e-01
65       1.61632000e-06    0.00000000e+00    3.42048911e-01
66       1.65728000e-06    0.00000000e+00    3.28319761e-01
67       1.69824000e-06    0.00000000e+00    3.15141671e-01
68       1.73920000e-06    0.00000000e+00    3.02492523e-01
69       1.78016000e-06    0.00000000e+00    2.90351085e-01
70       1.82112000e-06    0.00000000e+00    2.78696981e-01
71       1.86208000e-06    0.00000000e+00    2.67510649e-01
72       1.90304000e-06    0.00000000e+00    2.56773313e-01
73       1.94400000e-06    0.00000000e+00    2.46466953e-01
74       1.98496000e-06    0.00000000e+00    2.36574268e-01
75       2.00000000e-06    0.00000000e+00    2.33042748e-01
76       2.00000625e-06    6.25000000e-03    2.33041331e-01
77       2.00001089e-06    1.08903776e-02    2.33040300e-01
78       2.00002017e-06    2.01711329e-02    2.33038281e-01
79       2.00003873e-06    3.87326434e-02    2.33034503e-01
80       2.00007586e-06    7.58556644e-02    2.33027979e-01
81       2.00015010e-06    1.50101706e-01    2.33019066e-01
82       2.00029859e-06    2.98593790e-01    2.33017778e-01
83       2.00059558e-06    5.95577958e-01    2.33081344e-01
84       2.00100000e-06    1.00000000e+00    2.33309678e-01
85       2.00105940e-06    1.00000000e+00    2.33355214e-01
86       2.00117819e-06    1.00000000e+00    2.33446276e-01
87       2.00141578e-06    1.00000000e+00    2.33628378e-01
88       2.00189095e-06    1.00000000e+00    2.33992452e-01
89       2.00284130e-06    1.00000000e+00    2.34720081e-01
90       2.00474200e-06    1.00000000e+00    2.36173266e-01
91       2.00854340e-06    1.00000000e+00    2.39071367e-01
92       2.01614619e-06    1.00000000e+00    2.44834642e-01
93       2.03135178e-06    1.00000000e+00    2.56230734e-01
94       2.06176296e-06    1.00000000e+00    2.78510852e-01
95       2.12258532e-06    1.00000000e+00    3.21098386e-01
96       2.18340768e-06    1.00000000e+00    3.61172094e-01
97       2.24423003e-06    1.00000000e+00    3.98880361e-01
98       2.30505239e-06    1.00000000e+00    4.34362811e-01
99       2.36587475e-06    1.00000000e+00    4.67750830e-01
100      2.42669711e-06    1.00000000e+00    4.99168044e-01
101      2.48751946e-06    1.00000000e+00    5.28730787e-01
102      2.54834182e-06    1.00000000e+00    5.56548521e-01
103      2.60916418e-06    1.00000000e+00    5.82724251e-01
104      2.66998654e-06    1.00000000e+00    6.07354899e-01
105      2.73080889e-06    1.00000000e+00    6.30531667e-01
106      2.79163125e-06    1.00000000e+00    6.52340373e-01
107      2.91327597e-06    1.00000000e+00    6.92206573e-01
108      3.00100000e-06    1.00000000e+00    7.18072905e-01
109      3.00100625e-06    9.93750000e-01    7.18074627e-01
110      3.00101250e-06    9.87500000e-01    7.18076311e-01
111      3.00102500e-06    9.75000000e-01    7.18079601e-01
112      3.00105000e-06    9.50000000e-01    7.18085711e-01
113      3.00110000e-06    9.00000000e-01    7.18096057e-01
114      3.00120000e-06    8.00000000e-01    7.18109247e-01
115      3.00140000e-06    6.00000000e-01    7.18105625e-01
116      3.00180000e-06    2.00000000e-01    7.17978408e-01
117      3.00200000e-06    1.36668454e-13    7.17854825e-01
118      3.00208000e-06    0.00000000e+00    7.17797401e-01
119      3.00224000e-06    0.00000000e+00    7.17682572e-01
120      3.00256000e-06    0.00000000e+00    7.17452950e-01
121      3.00320000e-06    0.00000000e+00    7.16993927e-01
122      3.00448000e-06    0.00000000e+00    7.16076762e-01
123      3.00704000e-06    0.00000000e+00    7.14245949e-01
124      3.01216000e-06    0.00000000e+00    7.10598348e-01
125      3.02240000e-06    0.00000000e+00    7.03358887e-01
126      3.04288000e-06    0.00000000e+00    6.89100107e-01
127      3.08384000e-06    0.00000000e+00    6.61441024e-01
128      3.12480000e-06    0.00000000e+00    6.34892121e-01
129      3.16576000e-06    0.00000000e+00    6.09408838e-01
130      3.20672000e-06    0.00000000e+00    5.84948401e-01
131      3.24768000e-06    0.00000000e+00    5.61469758e-01
132      3.28864000e-06    0.00000000e+00    5.38933499e-01
133      3.32960000e-06    0.00000000e+00    5.17301800e-01
134      3.37056000e-06    0.00000000e+00    4.96538354e-01
135      3.41152000e-06    0.00000000e+00    4.76608310e-01
136      3.45248000e-06    0.00000000e+00    4.57478218e-01
137      3.49344000e-06    0.00000000e+00    4.39115969e-01
138      3.53440000e-06    0.00000000e+00    4.21490743e-01
139      3.57536000e-06    0.00000000e+00    4.04572959e-01
140      3.61632000e-06    0.00000000e+00    3.88334220e-01
141      3.65728000e-06    0.00000000e+00    3.72747271e-01
142      3.69824000e-06    0.00000000e+00    3.57785950e-01
143      3.73920000e-06    0.00000000e+00    3.43425147e-01
144      3.78016000e-06    0.00000000e+00    3.29640757e-01
145      3.82112000e-06    0.00000000e+00    3.16409645e-01
146      3.86208000e-06    0.00000000e+00    3.03709603e-01
147      3.90304000e-06    0.00000000e+00    2.91519315e-01
148      3.94400000e-06    0.00000000e+00    2.79818320e-01
149      3.98496000e-06    0.00000000e+00    2.68586979e-01
150      4.00000000e-06    0.00000000e+00    2.64577582e-01
151      4.00000625e-06    6.25000000e-03    2.64575967e-01
152      4.00001119e-06    1.11930865e-02    2.64574715e-01
153      4.00002108e-06    2.10792594e-02    2.64572259e-01
154      4.00004085e-06    4.08516053e-02    2.64567640e-01
155      4.00008040e-06    8.03962971e-02    2.64559575e-01
156      4.00015949e-06    1.59485681e-01    2.64548138e-01
157      4.00031766e-06    3.17664448e-01    2.64544030e-01
158      4.00063402e-06    6.34021982e-01    2.64610865e-01
159      4.00100000e-06    1.00000000e+00    2.64812995e-01
160      4.00106327e-06    1.00000000e+00    2.64859508e-01
161      4.00118981e-06    1.00000000e+00    2.64952523e-01
162      4.00144290e-06    1.00000000e+00    2.65138530e-01
163      4.00194907e-06    1.00000000e+00    2.65510402e-01
164      4.00296142e-06    1.00000000e+00    2.66253582e-01
165      4.00498610e-06    1.00000000e+00    2.67737687e-01
166      4.00903548e-06    1.00000000e+00    2.70696902e-01
167      4.01713423e-06    1.00000000e+00    2.76579526e-01
168      4.03333174e-06    1.00000000e+00    2.88202998e-01
169      4.06572675e-06    1.00000000e+00    3.10894130e-01
170      4.13051677e-06    1.00000000e+00    3.54140354e-01
171      4.19530680e-06    1.00000000e+00    3.94672573e-01
172      4.26009682e-06    1.00000000e+00    4.32661112e-01
173      4.32488684e-06    1.00000000e+00    4.68265604e-01
174      4.38967687e-06    1.00000000e+00    5.01635664e-01
175      4.45446689e-06    1.00000000e+00    5.32911519e-01
176      4.51925691e-06    1.00000000e+00    5.62224595e-01
177      4.58404694e-06    1.00000000e+00    5.89698070e-01
178      4.64883696e-06    1.00000000e+00    6.15447392e-01
179      4.71362698e-06    1.00000000e+00    6.39580764e-01
180      4.77841701e-06    1.00000000e+00    6.62199597e-01
181      4.84320703e-06    1.00000000e+00    6.83398940e-01
182      4.90799705e-06    1.00000000e+00    7.03267875e-01
183      5.00000000e-06    1.00000000e+00    7.29367485e-01
End of Xyce(TM) Simulation
