Index       FREQ           Re(V(OUT))        Im(V(OUT))    
0        1.00000000e+00    1.00000000e+00   -6.28318531e-06
1        1.12201845e+00    1.00000000e+00   -7.04984987e-06
2        1.25892541e+00    1.00000000e+00   -7.91006165e-06
3        1.41253754e+00    1.00000000e+00   -8.87523515e-06
4        1.58489319e+00    1.00000000e+00   -9.95817762e-06
5        1.77827941e+00    1.00000000e+00   -1.11732591e-05
6        1.99526231e+00    1.00000000e+00   -1.25366029e-05
7        2.23872114e+00    1.00000000e+00   -1.40662998e-05
8        2.51188643e+00    1.00000000e+00   -1.57826479e-05
9        2.81838293e+00    1.00000000e+00   -1.77084222e-05
10       3.16227766e+00    1.00000000e+00   -1.98691765e-05
11       3.54813389e+00    1.00000000e+00   -2.22935827e-05
12       3.98107171e+00    9.99999999e-01   -2.50138112e-05
13       4.46683592e+00    9.99999999e-01   -2.80659578e-05
14       5.01187234e+00    9.99999999e-01   -3.14905226e-05
15       5.62341325e+00    9.99999999e-01   -3.53329475e-05
16       6.30957344e+00    9.99999998e-01   -3.96442191e-05
17       7.07945784e+00    9.99999998e-01   -4.44815454e-05
18       7.94328235e+00    9.99999998e-01   -4.99091148e-05
19       8.91250938e+00    9.99999997e-01   -5.59989478e-05
20       1.00000000e+01    9.99999996e-01   -6.28318528e-05
21       1.12201845e+01    9.99999995e-01   -7.04984983e-05
22       1.25892541e+01    9.99999994e-01   -7.91006160e-05
23       1.41253754e+01    9.99999992e-01   -8.87523508e-05
24       1.58489319e+01    9.99999990e-01   -9.95817752e-05
25       1.77827941e+01    9.99999988e-01   -1.11732589e-04
26       1.99526231e+01    9.99999984e-01   -1.25366027e-04
27       2.23872114e+01    9.99999980e-01   -1.40662995e-04
28       2.51188643e+01    9.99999975e-01   -1.57826475e-04
29       2.81838293e+01    9.99999969e-01   -1.77084217e-04
30       3.16227766e+01    9.99999961e-01   -1.98691757e-04
31       3.54813389e+01    9.99999950e-01   -2.22935816e-04
32       3.98107171e+01    9.99999937e-01   -2.50138097e-04
33       4.46683592e+01    9.99999921e-01   -2.80659556e-04
34       5.01187234e+01    9.99999901e-01   -3.14905195e-04
35       5.62341325e+01    9.99999875e-01   -3.53329431e-04
36       6.30957344e+01    9.99999843e-01   -3.96442129e-04
37       7.07945784e+01    9.99999802e-01   -4.44815367e-04
38       7.94328235e+01    9.99999751e-01   -4.99091025e-04
39       8.91250938e+01    9.99999686e-01   -5.59989304e-04
40       1.00000000e+02    9.99999605e-01   -6.28318283e-04
41       1.12201845e+02    9.99999503e-01   -7.04984636e-04
42       1.25892541e+02    9.99999374e-01   -7.91005670e-04
43       1.41253754e+02    9.99999212e-01   -8.87522816e-04
44       1.58489319e+02    9.99999008e-01   -9.95816775e-04
45       1.77827941e+02    9.99998752e-01   -1.11732451e-03
46       1.99526231e+02    9.99998428e-01   -1.25365832e-03
47       2.23872114e+02    9.99998021e-01   -1.40662719e-03
48       2.51188643e+02    9.99997509e-01   -1.57826086e-03
49       2.81838293e+02    9.99996864e-01   -1.77083667e-03
50       3.16227766e+02    9.99996052e-01   -1.98690981e-03
51       3.54813389e+02    9.99995030e-01   -2.22934719e-03
52       3.98107171e+02    9.99993743e-01   -2.50136547e-03
53       4.46683592e+02    9.99992123e-01   -2.80657368e-03
54       5.01187234e+02    9.99990084e-01   -3.14902104e-03
55       5.62341325e+02    9.99987516e-01   -3.53325064e-03
56       6.30957344e+02    9.99984284e-01   -3.96435961e-03
57       7.07945784e+02    9.99980214e-01   -4.44806654e-03
58       7.94328235e+02    9.99975091e-01   -4.99078718e-03
59       8.91250938e+02    9.99968642e-01   -5.59971920e-03
60       1.00000000e+03    9.99960523e-01   -6.28293727e-03
61       1.12201845e+03    9.99950302e-01   -7.04949950e-03
62       1.25892541e+03    9.99937435e-01   -7.90956676e-03
63       1.41253754e+03    9.99921236e-01   -8.87453610e-03
64       1.58489319e+03    9.99900845e-01   -9.95719021e-03
65       1.77827941e+03    9.99875174e-01   -1.11718643e-02
66       1.99526231e+03    9.99842858e-01   -1.25346328e-02
67       2.23872114e+03    9.99802178e-01   -1.40635171e-02
68       2.51188643e+03    9.99750970e-01   -1.57787176e-02
69       2.81838293e+03    9.99686510e-01   -1.77028708e-02
70       3.16227766e+03    9.99605372e-01   -1.98613356e-02
71       3.54813389e+03    9.99503243e-01   -2.22825082e-02
72       3.98107171e+03    9.99374700e-01   -2.49981701e-02
73       4.46683592e+03    9.99212922e-01   -2.80438677e-02
74       5.01187234e+03    9.99009329e-01   -3.14593259e-02
75       5.62341325e+03    9.98753139e-01   -3.52888923e-02
76       6.30957344e+03    9.98430802e-01   -3.95820095e-02
77       7.07945784e+03    9.98025299e-01   -4.43937078e-02
78       7.94328235e+03    9.97515270e-01   -4.97851042e-02
79       8.91250938e+03    9.96873921e-01   -5.58238909e-02
80       1.00000000e+04    9.96067682e-01   -6.25847783e-02
81       1.12201845e+04    9.95054541e-01   -7.01498512e-02
82       1.25892541e+04    9.93781998e-01   -7.86087687e-02
83       1.41253754e+04    9.92184582e-01   -8.80587147e-02
84       1.58489319e+04    9.90180842e-01   -9.86039670e-02
85       1.77827941e+04    9.87669761e-01   -1.10354901e-01
86       1.99526231e+04    9.84526550e-01   -1.23426184e-01
87       2.23872114e+04    9.80597814e-01   -1.37933828e-01
88       2.51188643e+04    9.75696191e-01   -1.53990695e-01
89       2.81838293e+04    9.69594654e-01   -1.71699915e-01
90       3.16227766e+04    9.62020936e-01   -1.91145638e-01
91       3.54813389e+04    9.52652791e-01   -2.12380438e-01
92       3.98107171e+04    9.41115287e-01   -2.35408801e-01
93       4.46683592e+04    9.26981828e-01   -2.60166329e-01
94       5.01187234e+04    9.09781266e-01   -2.86494876e-01
95       5.62341325e+04    8.89013969e-01   -3.14114839e-01
96       6.30957344e+04    8.64179940e-01   -3.42597389e-01
97       7.07945784e+04    8.34821549e-01   -3.71341527e-01
98       7.94328235e+04    8.00581558e-01   -3.99563170e-01
99       8.91250938e+04    7.61273576e-01   -4.26305194e-01
100      1.00000000e+05    7.16956800e-01   -4.50477243e-01
101      1.12201845e+05    6.68000962e-01   -4.70930650e-01
102      1.25892541e+05    6.15123140e-01   -4.86566196e-01
103      1.41253754e+05    5.59378601e-01   -4.96461662e-01
104      1.58489319e+05    5.02095492e-01   -4.99995609e-01
105      1.77827941e+05    4.44757320e-01   -4.96938876e-01
106      1.99526231e+05    3.88853270e-01   -4.87489902e-01
107      2.23872114e+05    3.35727305e-01   -4.72244091e-01
108      2.51188643e+05    2.86457458e-01   -4.52105721e-01
109      2.81838293e+05    2.41786385e-01   -4.28165539e-01
110      3.16227766e+05    2.02108323e-01   -4.01572595e-01
111      3.54813389e+05    1.67503113e-01   -3.73424450e-01
112      3.98107171e+05    1.37799744e-01   -3.44689679e-01
113      4.46683592e+05    1.12650925e-01   -3.16165612e-01
114      5.01187234e+05    9.16041990e-02   -2.88466410e-01
115      5.62341325e+05    7.41610248e-02   -2.62032760e-01
116      6.30957344e+05    5.98206298e-02   -2.37154216e-01
117      7.07945784e+05    4.81091217e-02   -2.13996809e-01
118      7.94328235e+05    3.85963324e-02   -1.92630879e-01
119      8.91250938e+05    3.09034738e-02   -1.73056202e-01
120      1.00000000e+06    2.47045230e-02   -1.55223096e-01
End of Xyce(TM) Simulation
