Index       V(G)             I(VDS)      
0        0.00000000e+00   -1.38663501e-12
1        1.00000000e-02   -1.38663501e-12
2        2.00000000e-02   -1.38663501e-12
3        3.00000000e-02   -1.38663501e-12
4        4.00000000e-02   -1.38663501e-12
5        5.00000000e-02   -1.38663501e-12
6        6.00000000e-02   -1.38663501e-12
7        7.00000000e-02   -1.38663501e-12
8        8.00000000e-02   -1.38663501e-12
9        9.00000000e-02   -1.38663501e-12
10       1.00000000e-01   -1.38663501e-12
11       1.10000000e-01   -1.38663501e-12
12       1.20000000e-01   -1.38663501e-12
13       1.30000000e-01   -1.38663501e-12
14       1.40000000e-01   -1.38663501e-12
15       1.50000000e-01   -1.38663501e-12
16       1.60000000e-01   -1.38663501e-12
17       1.70000000e-01   -1.38663501e-12
18       1.80000000e-01   -1.38663501e-12
19       1.90000000e-01   -1.38663501e-12
20       2.00000000e-01   -1.38663501e-12
21       2.10000000e-01   -1.38663501e-12
22       2.20000000e-01   -1.38663501e-12
23       2.30000000e-01   -1.38663501e-12
24       2.40000000e-01   -1.38663501e-12
25       2.50000000e-01   -1.38663501e-12
26       2.60000000e-01   -1.38663501e-12
27       2.70000000e-01   -1.38663501e-12
28       2.80000000e-01   -1.38663501e-12
29       2.90000000e-01   -1.38663501e-12
30       3.00000000e-01   -1.38663501e-12
31       3.10000000e-01   -1.38663501e-12
32       3.20000000e-01   -1.38663501e-12
33       3.30000000e-01   -1.38663501e-12
34       3.40000000e-01   -1.38663501e-12
35       3.50000000e-01   -1.38663501e-12
36       3.60000000e-01   -1.38663501e-12
37       3.70000000e-01   -1.38663501e-12
38       3.80000000e-01   -1.38663501e-12
39       3.90000000e-01   -1.38663501e-12
40       4.00000000e-01   -1.38663501e-12
41       4.10000000e-01   -1.38663501e-12
42       4.20000000e-01   -1.38663501e-12
43       4.30000000e-01   -1.38663501e-12
44       4.40000000e-01   -1.38663501e-12
45       4.50000000e-01   -1.38663501e-12
46       4.60000000e-01   -1.38663501e-12
47       4.70000000e-01   -1.38663501e-12
48       4.80000000e-01   -1.38663501e-12
49       4.90000000e-01   -1.38663501e-12
50       5.00000000e-01   -1.38663501e-12
51       5.10000000e-01   -5.10013866e-08
52       5.20000000e-01   -2.04001387e-07
53       5.30000000e-01   -4.59001387e-07
54       5.40000000e-01   -8.16001387e-07
55       5.50000000e-01   -1.27500139e-06
56       5.60000000e-01   -1.83600139e-06
57       5.70000000e-01   -2.49900139e-06
58       5.80000000e-01   -3.26400139e-06
59       5.90000000e-01   -4.13100139e-06
60       6.00000000e-01   -5.10000139e-06
61       6.10000000e-01   -6.17100139e-06
62       6.20000000e-01   -7.34400139e-06
63       6.30000000e-01   -8.61900139e-06
64       6.40000000e-01   -9.99600139e-06
65       6.50000000e-01   -1.14750014e-05
66       6.60000000e-01   -1.30560014e-05
67       6.70000000e-01   -1.47390014e-05
68       6.80000000e-01   -1.65240014e-05
69       6.90000000e-01   -1.84110014e-05
70       7.00000000e-01   -2.04000014e-05
71       7.10000000e-01   -2.24910014e-05
72       7.20000000e-01   -2.46840014e-05
73       7.30000000e-01   -2.69790014e-05
74       7.40000000e-01   -2.93760014e-05
75       7.50000000e-01   -3.18750014e-05
76       7.60000000e-01   -3.44760014e-05
77       7.70000000e-01   -3.71790014e-05
78       7.80000000e-01   -3.99840014e-05
79       7.90000000e-01   -4.28910014e-05
80       8.00000000e-01   -4.59000014e-05
81       8.10000000e-01   -4.90110014e-05
82       8.20000000e-01   -5.22240014e-05
83       8.30000000e-01   -5.55390014e-05
84       8.40000000e-01   -5.89560014e-05
85       8.50000000e-01   -6.24750014e-05
86       8.60000000e-01   -6.60960014e-05
87       8.70000000e-01   -6.98190014e-05
88       8.80000000e-01   -7.36440014e-05
89       8.90000000e-01   -7.75710014e-05
90       9.00000000e-01   -8.16000014e-05
91       9.10000000e-01   -8.57310014e-05
92       9.20000000e-01   -8.99640014e-05
93       9.30000000e-01   -9.42990014e-05
94       9.40000000e-01   -9.87360014e-05
95       9.50000000e-01   -1.03275001e-04
96       9.60000000e-01   -1.07916001e-04
97       9.70000000e-01   -1.12659001e-04
98       9.80000000e-01   -1.17504001e-04
99       9.90000000e-01   -1.22451001e-04
100      1.00000000e+00   -1.27500001e-04
101      1.01000000e+00   -1.32651001e-04
102      1.02000000e+00   -1.37904001e-04
103      1.03000000e+00   -1.43259001e-04
104      1.04000000e+00   -1.48716001e-04
105      1.05000000e+00   -1.54275001e-04
106      1.06000000e+00   -1.59936001e-04
107      1.07000000e+00   -1.65699001e-04
108      1.08000000e+00   -1.71564001e-04
109      1.09000000e+00   -1.77531001e-04
110      1.10000000e+00   -1.83600001e-04
111      1.11000000e+00   -1.89771001e-04
112      1.12000000e+00   -1.96044001e-04
113      1.13000000e+00   -2.02419001e-04
114      1.14000000e+00   -2.08896001e-04
115      1.15000000e+00   -2.15475001e-04
116      1.16000000e+00   -2.22156001e-04
117      1.17000000e+00   -2.28939001e-04
118      1.18000000e+00   -2.35824001e-04
119      1.19000000e+00   -2.42811001e-04
120      1.20000000e+00   -2.49900001e-04
121      1.21000000e+00   -2.57091001e-04
122      1.22000000e+00   -2.64384001e-04
123      1.23000000e+00   -2.71779001e-04
124      1.24000000e+00   -2.79276001e-04
125      1.25000000e+00   -2.86875001e-04
126      1.26000000e+00   -2.94576001e-04
127      1.27000000e+00   -3.02379001e-04
128      1.28000000e+00   -3.10284001e-04
129      1.29000000e+00   -3.18291001e-04
130      1.30000000e+00   -3.26400001e-04
131      1.31000000e+00   -3.34611001e-04
132      1.32000000e+00   -3.42924001e-04
