Index       FREQ           Re(V(OUT))        Im(V(OUT))         Re(V(IN))         Im(V(IN))    
0        1.00000000e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
1        1.12201845e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
2        1.25892541e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
3        1.41253754e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
4        1.58489319e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
5        1.77827941e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
6        1.99526231e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
7        2.23872114e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
8        2.51188643e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
9        2.81838293e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
10       3.16227766e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
11       3.54813389e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
12       3.98107171e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
13       4.46683592e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
14       5.01187234e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
15       5.62341325e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
16       6.30957344e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
17       7.07945784e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
18       7.94328235e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
19       8.91250938e+00   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
20       1.00000000e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
21       1.12201845e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
22       1.25892541e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
23       1.41253754e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
24       1.58489319e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
25       1.77827941e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
26       1.99526231e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
27       2.23872114e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
28       2.51188643e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
29       2.81838293e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
30       3.16227766e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
31       3.54813389e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
32       3.98107171e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
33       4.46683592e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
34       5.01187234e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
35       5.62341325e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
36       6.30957344e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
37       7.07945784e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
38       7.94328235e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
39       8.91250938e+01   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
40       1.00000000e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
41       1.12201845e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
42       1.25892541e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
43       1.41253754e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
44       1.58489319e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
45       1.77827941e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
46       1.99526231e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
47       2.23872114e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
48       2.51188643e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
49       2.81838293e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
50       3.16227766e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
51       3.54813389e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
52       3.98107171e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
53       4.46683592e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
54       5.01187234e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
55       5.62341325e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
56       6.30957344e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
57       7.07945784e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
58       7.94328235e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
59       8.91250938e+02   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
60       1.00000000e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
61       1.12201845e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
62       1.25892541e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
63       1.41253754e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
64       1.58489319e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
65       1.77827941e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
66       1.99526231e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
67       2.23872114e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
68       2.51188643e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
69       2.81838293e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
70       3.16227766e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
