Index       FREQ             ONOISE            INOISE      
0        1.00000000e+00    8.28787747e-18    3.31515099e-17
1        1.25892541e+00    8.28787747e-18    3.31515099e-17
2        1.58489319e+00    8.28787747e-18    3.31515099e-17
3        1.99526231e+00    8.28787747e-18    3.31515099e-17
4        2.51188643e+00    8.28787747e-18    3.31515099e-17
5        3.16227766e+00    8.28787747e-18    3.31515099e-17
6        3.98107171e+00    8.28787747e-18    3.31515099e-17
7        5.01187234e+00    8.28787747e-18    3.31515099e-17
8        6.30957344e+00    8.28787747e-18    3.31515099e-17
9        7.94328235e+00    8.28787747e-18    3.31515099e-17
10       1.00000000e+01    8.28787747e-18    3.31515099e-17
11       1.25892541e+01    8.28787747e-18    3.31515099e-17
12       1.58489319e+01    8.28787747e-18    3.31515099e-17
13       1.99526231e+01    8.28787747e-18    3.31515099e-17
14       2.51188643e+01    8.28787747e-18    3.31515099e-17
15       3.16227766e+01    8.28787747e-18    3.31515099e-17
16       3.98107171e+01    8.28787747e-18    3.31515099e-17
17       5.01187234e+01    8.28787747e-18    3.31515099e-17
18       6.30957344e+01    8.28787747e-18    3.31515099e-17
19       7.94328235e+01    8.28787747e-18    3.31515099e-17
20       1.00000000e+02    8.28787747e-18    3.31515099e-17
21       1.25892541e+02    8.28787747e-18    3.31515099e-17
22       1.58489319e+02    8.28787747e-18    3.31515099e-17
23       1.99526231e+02    8.28787747e-18    3.31515099e-17
24       2.51188643e+02    8.28787747e-18    3.31515099e-17
25       3.16227766e+02    8.28787747e-18    3.31515099e-17
26       3.98107171e+02    8.28787747e-18    3.31515099e-17
27       5.01187234e+02    8.28787747e-18    3.31515099e-17
28       6.30957344e+02    8.28787747e-18    3.31515099e-17
29       7.94328235e+02    8.28787747e-18    3.31515099e-17
30       1.00000000e+03    8.28787747e-18    3.31515099e-17
31       1.25892541e+03    8.28787747e-18    3.31515099e-17
32       1.58489319e+03    8.28787747e-18    3.31515099e-17
33       1.99526231e+03    8.28787747e-18    3.31515099e-17
34       2.51188643e+03    8.28787747e-18    3.31515099e-17
35       3.16227766e+03    8.28787747e-18    3.31515099e-17
36       3.98107171e+03    8.28787747e-18    3.31515099e-17
37       5.01187234e+03    8.28787747e-18    3.31515099e-17
38       6.30957344e+03    8.28787747e-18    3.31515099e-17
39       7.94328235e+03    8.28787747e-18    3.31515099e-17
40       1.00000000e+04    8.28787747e-18    3.31515099e-17
41       1.25892541e+04    8.28787747e-18    3.31515099e-17
42       1.58489319e+04    8.28787747e-18    3.31515099e-17
43       1.99526231e+04    8.28787747e-18    3.31515099e-17
44       2.51188643e+04    8.28787747e-18    3.31515099e-17
45       3.16227766e+04    8.28787747e-18    3.31515099e-17
46       3.98107171e+04    8.28787747e-18    3.31515099e-17
47       5.01187234e+04    8.28787747e-18    3.31515099e-17
48       6.30957344e+04    8.28787747e-18    3.31515099e-17
49       7.94328235e+04    8.28787747e-18    3.31515099e-17
50       1.00000000e+05    8.28787747e-18    3.31515099e-17
51       1.25892541e+05    8.28787747e-18    3.31515099e-17
52       1.58489319e+05    8.28787747e-18    3.31515099e-17
53       1.99526231e+05    8.28787747e-18    3.31515099e-17
54       2.51188643e+05    8.28787747e-18    3.31515099e-17
55       3.16227766e+05    8.28787747e-18    3.31515099e-17
56       3.98107171e+05    8.28787747e-18    3.31515099e-17
57       5.01187234e+05    8.28787747e-18    3.31515099e-17
58       6.30957344e+05    8.28787747e-18    3.31515099e-17
59       7.94328235e+05    8.28787747e-18    3.31515099e-17
60       1.00000000e+06    8.28787747e-18    3.31515099e-17
End of Xyce(TM) Simulation
