Index       V(G)             I(VDS)      
0        0.00000000e+00   -1.38663501e-12
1        2.00000000e-02   -1.38663501e-12
2        4.00000000e-02   -1.38663501e-12
3        6.00000000e-02   -1.38663501e-12
4        8.00000000e-02   -1.38663501e-12
5        1.00000000e-01   -1.38663501e-12
6        1.20000000e-01   -1.38663501e-12
7        1.40000000e-01   -1.38663501e-12
8        1.60000000e-01   -1.38663501e-12
9        1.80000000e-01   -1.38663501e-12
10       2.00000000e-01   -1.38663501e-12
11       2.20000000e-01   -1.38663501e-12
12       2.40000000e-01   -1.38663501e-12
13       2.60000000e-01   -1.38663501e-12
14       2.80000000e-01   -1.38663501e-12
15       3.00000000e-01   -1.38663501e-12
16       3.20000000e-01   -1.38663501e-12
17       3.40000000e-01   -1.38663501e-12
18       3.60000000e-01   -1.38663501e-12
19       3.80000000e-01   -1.38663501e-12
20       4.00000000e-01   -1.38663501e-12
21       4.20000000e-01   -1.38663501e-12
22       4.40000000e-01   -1.38663501e-12
23       4.60000000e-01   -1.38663501e-12
24       4.80000000e-01   -1.38663501e-12
25       5.00000000e-01   -1.38663501e-12
26       5.20000000e-01   -2.47201387e-07
27       5.40000000e-01   -9.88801387e-07
28       5.60000000e-01   -2.22480139e-06
29       5.80000000e-01   -3.95520139e-06
30       6.00000000e-01   -6.18000139e-06
31       6.20000000e-01   -8.89920139e-06
32       6.40000000e-01   -1.21128014e-05
33       6.60000000e-01   -1.58208014e-05
34       6.80000000e-01   -2.00232014e-05
35       7.00000000e-01   -2.47200014e-05
36       7.20000000e-01   -2.99112014e-05
37       7.40000000e-01   -3.55968014e-05
38       7.60000000e-01   -4.17768014e-05
39       7.80000000e-01   -4.84512014e-05
40       8.00000000e-01   -5.56200014e-05
41       8.20000000e-01   -6.32832014e-05
42       8.40000000e-01   -7.14408014e-05
43       8.60000000e-01   -8.00928014e-05
44       8.80000000e-01   -8.92392014e-05
45       9.00000000e-01   -9.88800014e-05
46       9.20000000e-01   -1.09015201e-04
47       9.40000000e-01   -1.19644801e-04
48       9.60000000e-01   -1.30768801e-04
49       9.80000000e-01   -1.42387201e-04
50       1.00000000e+00   -1.54500001e-04
51       1.02000000e+00   -1.67107201e-04
52       1.04000000e+00   -1.80208801e-04
53       1.06000000e+00   -1.93804801e-04
54       1.08000000e+00   -2.07895201e-04
55       1.10000000e+00   -2.22480001e-04
56       1.12000000e+00   -2.37559201e-04
57       1.14000000e+00   -2.53132801e-04
58       1.16000000e+00   -2.69200801e-04
59       1.18000000e+00   -2.85763201e-04
60       1.20000000e+00   -3.02820001e-04
61       1.22000000e+00   -3.20371201e-04
62       1.24000000e+00   -3.38416801e-04
63       1.26000000e+00   -3.56956801e-04
64       1.28000000e+00   -3.75991201e-04
65       1.30000000e+00   -3.95520001e-04
66       1.32000000e+00   -4.15543201e-04
67       1.34000000e+00   -4.36060801e-04
68       1.36000000e+00   -4.57072801e-04
69       1.38000000e+00   -4.78579201e-04
70       1.40000000e+00   -5.00580001e-04
71       1.42000000e+00   -5.23075201e-04
72       1.44000000e+00   -5.46064801e-04
73       1.46000000e+00   -5.69548801e-04
74       1.48000000e+00   -5.93527201e-04
75       1.50000000e+00   -6.18000001e-04
76       1.52000000e+00   -6.42720001e-04
77       1.54000000e+00   -6.67440001e-04
78       1.56000000e+00   -6.92160001e-04
79       1.58000000e+00   -7.16880001e-04
80       1.60000000e+00   -7.41600001e-04
81       1.62000000e+00   -7.66320001e-04
82       1.64000000e+00   -7.91040001e-04
83       1.66000000e+00   -8.15760001e-04
84       1.68000000e+00   -8.40480001e-04
85       1.70000000e+00   -8.65200001e-04
86       1.72000000e+00   -8.89920001e-04
87       1.74000000e+00   -9.14640001e-04
88       1.76000000e+00   -9.39360001e-04
89       1.78000000e+00   -9.64080001e-04
90       1.80000000e+00   -9.88800001e-04
End of Xyce(TM) Simulation
